timestamp_localtime,experiment,pioreactor_unit,timestamp,alt_media_fraction
2024-08-16 06:49:47,Booch01,pio02,2024-08-16T05:49:47.128604Z,0.0
2024-08-16 06:49:57,Booch01,pio02,2024-08-16T05:49:57.629057Z,0.0
2024-08-16 06:50:18,Booch01,pio02,2024-08-16T05:50:18.452434Z,0.0
2024-08-16 06:50:46,Booch01,pio02,2024-08-16T05:50:46.763976Z,0.0
2024-08-16 06:50:57,Booch01,pio02,2024-08-16T05:50:57.252169Z,0.0
2024-08-16 06:51:18,Booch01,pio02,2024-08-16T05:51:18.082126Z,0.0
2024-08-16 06:51:46,Booch01,pio02,2024-08-16T05:51:46.396380Z,0.0
2024-08-16 06:51:56,Booch01,pio02,2024-08-16T05:51:56.985006Z,0.0
2024-08-16 06:52:17,Booch01,pio02,2024-08-16T05:52:17.816381Z,0.0
2024-08-16 06:52:46,Booch01,pio02,2024-08-16T05:52:46.128412Z,0.0
2024-08-16 06:52:56,Booch01,pio02,2024-08-16T05:52:56.619991Z,0.0
2024-08-16 06:53:17,Booch01,pio02,2024-08-16T05:53:17.448376Z,0.0
2024-08-16 06:53:45,Booch01,pio02,2024-08-16T05:53:45.760475Z,0.0
2024-08-16 06:53:56,Booch01,pio02,2024-08-16T05:53:56.248842Z,0.0
2024-08-16 06:54:17,Booch01,pio02,2024-08-16T05:54:17.177471Z,0.0
2024-08-16 06:54:45,Booch01,pio02,2024-08-16T05:54:45.536615Z,0.0
2024-08-16 06:54:56,Booch01,pio02,2024-08-16T05:54:56.029856Z,0.0
2024-08-16 06:55:16,Booch01,pio02,2024-08-16T05:55:16.856732Z,0.0
2024-08-16 06:55:45,Booch01,pio02,2024-08-16T05:55:45.169003Z,0.0
2024-08-16 06:55:55,Booch01,pio02,2024-08-16T05:55:55.660515Z,0.0
2024-08-16 06:56:16,Booch01,pio02,2024-08-16T05:56:16.488443Z,0.0
2024-08-16 06:56:44,Booch01,pio02,2024-08-16T05:56:44.904659Z,0.0
2024-08-16 06:56:55,Booch01,pio02,2024-08-16T05:56:55.388345Z,0.0
2024-08-16 06:57:21,Booch01,pio02,2024-08-16T05:57:21.187991Z,0.0
2024-08-16 06:57:49,Booch01,pio02,2024-08-16T05:57:49.500027Z,0.0
2024-08-16 06:57:59,Booch01,pio02,2024-08-16T05:57:59.992590Z,0.0
2024-08-16 06:58:20,Booch01,pio02,2024-08-16T05:58:20.821087Z,0.0
2024-08-16 06:58:49,Booch01,pio02,2024-08-16T05:58:49.232003Z,0.0
