timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-12-08 07:52:27,Spirulina 003,pio001,2023-12-08T07:52:27.074184Z,UpdatedHeaterDC,delta_dc=-0.28500000000002856,"{""current_dc"": 48.64, ""delta_dc"": -0.28500000000002856}"
2023-12-08 07:56:12,Spirulina 003,pio001,2023-12-08T07:56:12.068247Z,UpdatedHeaterDC,delta_dc=-0.06000000000000938,"{""current_dc"": 48.58, ""delta_dc"": -0.06000000000000938}"
2023-12-08 07:59:57,Spirulina 003,pio001,2023-12-08T07:59:57.068992Z,UpdatedHeaterDC,delta_dc=0.3900000000000077,"{""current_dc"": 48.97, ""delta_dc"": 0.3900000000000077}"
2023-12-08 08:03:42,Spirulina 003,pio001,2023-12-08T08:03:42.071292Z,UpdatedHeaterDC,delta_dc=-0.4050000000000047,"{""current_dc"": 48.56, ""delta_dc"": -0.4050000000000047}"
2023-12-08 08:07:27,Spirulina 003,pio001,2023-12-08T08:07:27.058353Z,UpdatedHeaterDC,delta_dc=-0.23999999999997357,"{""current_dc"": 48.32, ""delta_dc"": -0.23999999999997357}"
2023-12-08 08:11:12,Spirulina 003,pio001,2023-12-08T08:11:12.083035Z,UpdatedHeaterDC,delta_dc=0.2249999999999872,"{""current_dc"": 48.54, ""delta_dc"": 0.2249999999999872}"
2023-12-08 08:14:57,Spirulina 003,pio001,2023-12-08T08:14:57.068848Z,UpdatedHeaterDC,delta_dc=0.22500000000000853,"{""current_dc"": 48.77, ""delta_dc"": 0.22500000000000853}"
2023-12-08 08:18:42,Spirulina 003,pio001,2023-12-08T08:18:42.061627Z,UpdatedHeaterDC,delta_dc=-0.28500000000002856,"{""current_dc"": 48.48, ""delta_dc"": -0.28500000000002856}"
2023-12-08 08:22:27,Spirulina 003,pio001,2023-12-08T08:22:27.080611Z,UpdatedHeaterDC,delta_dc=0.01500000000002899,"{""current_dc"": 48.5, ""delta_dc"": 0.01500000000002899}"
2023-12-08 08:26:12,Spirulina 003,pio001,2023-12-08T08:26:12.063391Z,UpdatedHeaterDC,delta_dc=-0.02999999999999403,"{""current_dc"": 48.47, ""delta_dc"": -0.02999999999999403}"
