timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 14:15:32,Spirulina 003,pio001,2023-11-28T14:15:32.745558Z,32.51
2023-11-28 14:19:17,Spirulina 003,pio001,2023-11-28T14:19:17.752903Z,32.49
2023-11-28 14:23:02,Spirulina 003,pio001,2023-11-28T14:23:02.748223Z,32.54
2023-11-28 14:26:47,Spirulina 003,pio001,2023-11-28T14:26:47.761680Z,32.47
2023-11-28 14:30:32,Spirulina 003,pio001,2023-11-28T14:30:32.748152Z,32.51
2023-11-28 14:34:17,Spirulina 003,pio001,2023-11-28T14:34:17.746982Z,32.52
2023-11-28 14:38:02,Spirulina 003,pio001,2023-11-28T14:38:02.750788Z,32.49
2023-11-28 14:41:47,Spirulina 003,pio001,2023-11-28T14:41:47.754987Z,32.53
2023-11-28 14:45:32,Spirulina 003,pio001,2023-11-28T14:45:32.753751Z,32.47
2023-11-28 14:49:17,Spirulina 003,pio001,2023-11-28T14:49:17.749296Z,32.48
2023-11-28 14:53:02,Spirulina 003,pio001,2023-11-28T14:53:02.758407Z,32.52
2023-11-28 14:56:47,Spirulina 003,pio001,2023-11-28T14:56:47.755017Z,32.56
2023-11-28 15:00:32,Spirulina 003,pio001,2023-11-28T15:00:32.742795Z,32.53
2023-11-28 15:04:17,Spirulina 003,pio001,2023-11-28T15:04:17.743525Z,32.54
2023-11-28 15:08:02,Spirulina 003,pio001,2023-11-28T15:08:02.756944Z,32.54
2023-11-28 15:11:47,Spirulina 003,pio001,2023-11-28T15:11:47.750320Z,32.52
2023-11-28 15:15:32,Spirulina 003,pio001,2023-11-28T15:15:32.748985Z,32.53
2023-11-28 15:19:17,Spirulina 003,pio001,2023-11-28T15:19:17.742164Z,32.54
2023-11-28 15:23:02,Spirulina 003,pio001,2023-11-28T15:23:02.742962Z,32.48
2023-11-28 15:26:47,Spirulina 003,pio001,2023-11-28T15:26:47.746987Z,32.48
2023-11-28 15:30:32,Spirulina 003,pio001,2023-11-28T15:30:32.741718Z,32.49
2023-11-28 15:34:17,Spirulina 003,pio001,2023-11-28T15:34:17.754085Z,32.52
2023-11-28 15:38:02,Spirulina 003,pio001,2023-11-28T15:38:02.747691Z,32.48
2023-11-28 15:41:47,Spirulina 003,pio001,2023-11-28T15:41:47.741051Z,32.51
2023-11-28 15:45:32,Spirulina 003,pio001,2023-11-28T15:45:32.743080Z,32.54
2023-11-28 15:49:17,Spirulina 003,pio001,2023-11-28T15:49:17.757967Z,32.48
2023-11-28 15:53:02,Spirulina 003,pio001,2023-11-28T15:53:02.739049Z,32.49
